,RANK,COUNTRY,PLAYER,CHANGE +/-,WIN - LOSE,PRIZE MONEY,POINTS / TOURNAMENTS
0,1,CHN CHN,ZHANG Nan ZHAO Yunlei,0,268 - 42,"$1,040,537.50","99,735 / 14"
1,2,INA INA,Tontowi AHMAD Liliyana NATSIR,0,231 - 61,"$740,426.25","80,512 / 16"
2,3,CHN CHN,LIU Cheng BAO Yixin,0,94 - 37,"$204,489.98","77,200 / 16"
3,4,DEN DEN,Joachim FISCHER NIELSEN Christinna PEDERSEN,0,250 - 78,"$675,302.73","75,724 / 15"
4,5,KOR KOR,KO Sung Hyun KIM Ha Na,1,101 - 44,"$315,642.49","75,460 / 18"
5,6,CHN CHN,XU Chen MA Jin,-1,204 - 58,"$806,436.86","73,741 / 15"
6,7,ENG ENG,Chris ADCOCK Gabrielle ADCOCK,0,148 - 93,"$266,197.27","67,574 / 18"
7,8,INA INA,Praveen JORDAN Debby SUSANTO,0,72 - 39,"$149,861.85","65,332 / 23"
8,9,CHN CHN,LU Kai HUANG Yaqiong,0,71 - 31,"$129,762.49","59,290 / 17"
9,10,HKG HKG,LEE Chun Hei Reginald CHAU Hoi Wah,0,94 - 53,"$160,640.84","57,815 / 23"
10,11,KOR KOR,SHIN Baek Cheol CHAE Yoo Jung,0,26 - 11,"$88,193.74","47,550 / 11"
11,12,INA INA,Edi SUBAKTIAR Gloria Emanuelle WIDJAJA,0,55 - 36,"$48,101.60","45,760 / 19"
12,13,NED NED,Jacco ARENDS Selena PIEK,0,99 - 63,"$36,441.99","44,545 / 21"
13,14,KOR KOR,SolGyu CHOI EOM Hye Won,2,25 - 13,"$93,108.74","44,130 / 14"
14,15,GER GER,Michael FUCHS Birgit MICHELS,-1,160 - 94,"$158,646.26","43,448 / 22"
15,16,INA INA,Riky WIDIANTO Puspita Richi DILI,-1,101 - 64,"$98,733.58","42,350 / 17"
16,17,MAS MAS,Peng Soon CHAN Liu Ying GOH,0,154 - 98,"$189,734.37","41,040 / 18"
17,18,HKG HKG,CHAN Alan Yun Lung TSE Ying Suet,0,58 - 53,"$44,449.74","39,597 / 22"
18,19,JPN JPN,Kenichi HAYAKAWA Misaki MATSUTOMO,0,67 - 70,"$43,402.58","38,280 / 13"
19,20,INA INA,Ronald ALEXANDER Melati Daeva OKTAVIANI,0,52 - 29,"$19,712.36","37,910 / 17"
20,21,RUS RUS,Vitalij DURKIN Nina VISLOVA,0,178 - 83,"$71,196.72","37,690 / 22"
21,22,POL POL,Robert MATEUSIAK Nadiezda ZIEBA,0,240 - 97,"$174,285.25","37,200 / 10"
22,23,USA USA,Phillip CHEW Jamie SUBANDHI,3,83 - 66,"$18,526.14","36,308 / 25"
23,24,FRA FRA,Ronan LABAR Emilie LEFEL,-1,81 - 49,"$13,236.49","36,158 / 24"
24,25,SIN SIN,Danny Bawa CHRISNANTA Yu Yan Vanessa NEO,-1,123 - 112,"$70,006.12","35,854 / 19"
25,26,KOR KOR,KIM Gi Jung SHIN Seung Chan,-1,13 - 15,"$38,584.36","35,790 / 15"
26,27,JPN JPN,Keigo SONODA Naoko FUKUMAN,0,12 - 11,"$12,011.23","34,300 / 11"
27,28,JPN JPN,Kenta KAZUNO Ayane KURIHARA,2,24 - 13,"$11,101.86","33,450 / 13"
28,29,RUS RUS,Evgenij DREMIN Evgenia DIMOVA,2,64 - 43,"$19,322.49","33,388 / 16"
29,30,DEN DEN,Mads Pieler KOLDING Kamilla RYTTER JUHL,2,49 - 32,"$155,575.62","33,260 / 6"
30,31,CHN CHN,HUANG Kaixiang HUANG Dongping,2,24 - 7,"$23,498.12","33,200 / 8"
31,32,DEN DEN,Niclas NOHR Sara THYGESEN,6,61 - 27,"$18,539.25","33,110 / 13"
32,33,AUS AUS,Robin MIDDLETON Leanne CHOO,1,35 - 22,"$11,535.99","33,061 / 18"
33,34,CAN CAN,Toby NG Alex BRUCE,-5,63 - 34,"$18,898.70","32,874 / 16"
34,35,IRL IRL,Sam MAGEE Chloe MAGEE,0,122 - 92,"$22,109.48","32,670 / 16"
35,36,INA INA,Markis KIDO Pia Zebadiah BERNADETH,0,84 - 64,"$104,211.60","31,990 / 15"
36,37,THA THA,Sudket PRAPAKAMOL Saralee THOUNGTHONGKAM,-10,295 - 181,"$327,053.71","31,650 / 11"
37,38,NED NED,Jorrit DE RUITER Samantha BARNING,1,68 - 48,"$24,159.41","31,107 / 13"
38,39,FRA FRA,Gaetan MITTELHEISSER Audrey FONTAINE,-2,59 - 44,"$7,286.50","30,730 / 19"
39,40,TPE TPE,LIAO Min Chun CHEN Hsiao Huan,0,52 - 62,"$16,478.74","29,730 / 16"
40,41,INA INA,Andrei ADISTIA Vita MARISSA,0,24 - 15,"$165,137.50","29,590 / 10"
41,42,INA INA,Fran KURNIAWAN Komala DEWI,1,38 - 18,"$50,842.23","27,880 / 13"
42,43,KOR KOR,SolGyu CHOI CHAE Yoo Jung,-1,72 - 20,"$50,436.24","27,530 / 8"
43,44,SIN SIN,Yong Kai Terry HEE Wei Han TAN,1,31 - 12,"$5,653.11","27,329 / 11"
44,45,MAS MAS,WONG Fai Yin Mei Kuan CHOW,-1,27 - 29,"$6,389.98","26,460 / 14"
45,46,SIN SIN,Chayut TRIYACHART Shinta Mulia SARI,0,35 - 27,"$21,810.67","26,148 / 8"
46,47,MAS MAS,Aik Quan TAN Pei Jing LAI,0,63 - 55,"$30,499.57","26,140 / 10"
47,48,IND IND,KONA Tarun NELAKURIHI Sikki Reddy,0,22 - 24,"$11,772.46","25,060 / 19"
48,49,KOR KOR,LEE Yong Dae LEE So Hee,0,12 - 9,"$151,932.73","24,880 / 8"
49,50,CHN CHN,ZHENG Siwei CHEN Qingchen,0,68 - 4,"$42,101.24","24,140 / 6"
50,51,DEN DEN,Mathias CHRISTIANSEN Lena GREBAK,4,24 - 12,"$12,617.00","23,970 / 9"
51,52,IND IND,Arun VISHNU Aparna BALAN,12,65 - 56,"$16,081.74","23,800 / 9"
