,RANK,COUNTRY,PLAYER,CHANGE +/-,WIN - LOSE,PRIZE MONEY,POINTS / TOURNAMENTS
0,1,KOR KOR,LEE Yong Dae YOO Yeon Seong,0,82 - 14,"$989,580.61","96,380 / 14"
1,2,DEN DEN,Mathias BOE Carsten MOGENSEN,0,318 - 105,"$704,307.12","77,120 / 11"
2,3,INA INA,Hendra SETIAWAN Mohammad AHSAN,0,94 - 25,"$583,894.38","72,777 / 12"
3,4,CHN CHN,CHAI Biao HONG Wei,0,62 - 22,"$292,629.99","69,485 / 15"
4,5,JPN JPN,Hiroyuki ENDO Kenichi HAYAKAWA,0,167 - 86,"$244,282.85","64,957 / 16"
5,6,CHN CHN,FU Haifeng ZHANG Nan,1,41 - 15,"$483,951.88","63,297 / 11"
6,7,KOR KOR,KO Sung Hyun SHIN Baek Cheol,3,44 - 21,"$393,415.23","62,710 / 10"
7,8,TPE TPE,LEE Sheng Mu TSAI Chia Hsin,-2,76 - 41,"$223,901.87","61,961 / 16"
8,9,CHN CHN,LIU Xiaolong QIU Zihan,-1,115 - 78,"$185,273.73","59,420 / 13"
9,10,DEN DEN,Mads CONRAD-PETERSEN Mads Pieler KOLDING,-1,102 - 41,"$98,791.15","56,467 / 17"
10,11,KOR KOR,KIM Gi Jung KIM Sa Rang,0,119 - 54,"$188,003.48","47,389 / 11"
11,12,RUS RUS,Vladimir IVANOV Ivan SOZONOV,0,157 - 72,"$99,359.74","46,288 / 18"
12,13,JPN JPN,Hirokatsu HASHIMOTO Noriyasu HIRATA,0,144 - 107,"$124,585.59","46,131 / 15"
13,14,INA INA,Angga PRATAMA Ricky Karanda SUWARDI,2,20 - 9,"$99,623.09","43,090 / 10"
14,15,DEN DEN,Kim ASTRUP Anders Skaarup RASMUSSEN,-1,80 - 47,"$40,355.75","42,436 / 18"
15,16,INA INA,Andrei ADISTIA Hendra Aprida GUNAWAN,-1,27 - 21,"$110,124.61","42,200 / 13"
16,17,MAS MAS,V Shem GOH Wee Kiong TAN,5,31 - 18,"$125,690.59","41,458 / 11"
17,18,TPE TPE,CHEN Hung Ling Chi-Lin WANG,-1,27 - 16,"$56,055.73","40,060 / 16"
18,19,JPN JPN,Kenta KAZUNO Kazushi YAMADA,-1,41 - 11,"$48,596.99","39,880 / 12"
19,20,CHN CHN,WANG YILYU ZHANG Wen,-1,30 - 10,"$38,581.24","39,800 / 9"
20,21,POL POL,Adam CWALINA Przemyslaw WACHA,-1,118 - 38,"$58,153.85","39,416 / 20"
21,22,INA INA,Wahyu Nayaka ARYA PANKARYANIRA Ade YUSUF,7,55 - 36,"$30,034.98","39,280 / 14"
22,23,JPN JPN,Takeshi KAMURA Keigo SONODA,-2,76 - 45,"$56,210.23","39,270 / 14"
23,24,CHN CHN,CAI Yun LU Kai,0,21 - 13,"$347,816.88","37,440 / 10"
24,25,GER GER,Michael FUCHS Johannes SCHOETTLER,0,28 - 25,"$62,635.38","37,406 / 11"
25,26,GER GER,Max SCHWENGER Josche ZURWONNE,0,26 - 14,"$17,509.48","37,231 / 16"
26,27,SIN SIN,Danny Bawa CHRISNANTA Chayut TRIYACHART,-4,84 - 64,"$44,263.08","36,787 / 13"
27,28,CHN CHN,LI Junhui LIU Yuchen,0,61 - 24,"$61,917.50","36,290 / 10"
28,29,IND IND,Manu ATTRI B. Sumeeth Reddy,-2,36 - 35,"$16,420.60","35,880 / 15"
29,30,USA USA,Sattawat PONGNAIRAT Phillip CHEW,1,45 - 60,"$8,851.15","33,867 / 20"
30,31,FRA FRA,Baptiste CAREME Ronan LABAR,1,61 - 39,"$16,276.62","33,168 / 22"
31,32,ENG ENG,Marcus ELLIS Chris LANGRIDGE,12,11 - 7,"$38,344.95","31,676 / 9"
32,33,JPN JPN,Takuto INOUE Yuki KANEKO,0,53 - 24,"$9,444.98","31,650 / 11"
33,34,IND IND,Pranaav Jerry CHOPRA Akshay DEWALKAR,4,45 - 47,"$21,214.19","31,586 / 14"
34,35,ENG ENG,Andrew ELLIS Peter MILLS,-1,15 - 13,"$48,783.17","31,555 / 15"
35,36,GER GER,Raphael BECK Andreas HEINZ,-1,35 - 25,"$9,773.75","30,430 / 18"
36,37,CAN CAN,Adrian LIU Derrick NG,4,97 - 50,"$15,718.75","30,192 / 12"
37,38,POL POL,Lukasz MOREN Wojciech SZKUDLARCZYK,-1,132 - 80,"$25,192.55","29,772 / 21"
38,39,TPE TPE,LIAO Min Chun TSENG Min Hao,0,22 - 17,"$18,028.73","28,930 / 11"
39,40,DEN DEN,Mathias CHRISTIANSEN David DAUGAARD,0,64 - 26,"$9,401.50","28,820 / 13"
40,41,INA INA,Gideon Markus FERNALDI Markis KIDO,-11,0 - 0,"$255,277.47","28,160 / 6"
41,42,BEL BEL,Matijs DIERICKX Freek GOLINSKI,0,3 - 3,"$4,684.98","28,086 / 16"
42,43,TPE TPE,LIN Chia Yu Hsiao-Lin WU,5,0 - 0,"$9,214.35","27,740 / 15"
43,44,THA THA,Maneepong JONGJIT Nipitphon PUANGPUAPECH,-8,0 - 0,"$79,543.08","27,420 / 7"
44,45,INA INA,Fajar ALFIAN Muhammad Rian ARDIANTO,2,0 - 0,"$10,169.12","27,140 / 11"
45,46,TPE TPE,HUANG Po Jui LU Ching Yao,-1,0 - 0,"$10,211.10","27,090 / 13"
46,47,ENG ENG,Matthew NOTTINGHAM Harley TOWLER,-1,0 - 0,"$7,737.50","27,090 / 11"
47,48,INA INA,Markis KIDO Agripinna Prima Rahmanto PUTRA,7,0 - 0,,"25,880 / 8"
48,49,TPE TPE,LIANG Jui Wei LU Chia Pin,0,0 - 0,,"25,600 / 11"
49,50,CHN CHN,KANG Jun LIU Cheng,-7,0 - 0,,"24,720 / 8"
50,51,NED TPE,Ruud BOSCH TIEN Tzu Chieh,0,0 - 0,,"23,650 / 10"
51,52,JPN JPN,Hiroyuki SAEKI Ryota TAOHATA,0,0 - 0,,"23,590 / 7"
52,53,GUA GUA,SOLIS JONATHAN Rodolfo RAMIREZ,-3,0 - 0,,"23,441 / 11"
53,54,INA INA,Fran KURNIAWAN Agripinna Prima Rahmanto PUTRA,-1,0 - 0,,"23,430 / 8"
54,55,FRA FRA,Laurent CONSTANTIN Matthieu LO YING PING,-1,0 - 0,,"23,330 / 10"
55,56,INA INA,Gideon Markus FERNALDI Kevin Sanjaya SUKAMULJO,17,0 - 0,,"23,200 / 6"
56,57,THA THA,Puavaranukroh DECHAPOL Kedren KITTINUPONG,-1,0 - 0,,"23,140 / 10"
57,58,NED NED,Jacco ARENDS Jelle MAAS,-1,0 - 0,,"23,080 / 12"
58,59,GER GER,Fabian HOLZER Mark LAMSFUSS,-1,0 - 0,,"22,580 / 11"
59,60,SIN SIN,Yong Kai Terry HEE Hendra WIJAYA,0,0 - 0,,"22,111 / 10"
60,61,THA THA,Wannawat AMPUNSUWAN Patiphat CHALARDCHALEAM,0,0 - 0,,"22,050 / 8"
61,62,ENG ENG,Peter BRIGGS Tom WOLFENDEN,0,0 - 0,,"21,750 / 11"
62,63,FRA FRA,Bastian KERSAUDY Gaetan MITTELHEISSER,1,0 - 0,,"21,150 / 12"
63,64,PHI PHI,Peter Gabriel MAGNAYE Paul Jefferson VIVAS,7,0 - 0,,"21,014 / 12"
64,65,INA INA,Yohanes Rendy SUGIARTO Afiat Yuris WIRAWAN,3,0 - 0,,"20,800 / 10"
65,66,CAN CAN,Kevin LI Nyl YAKURA,0,0 - 0,,"20,328 / 13"
66,67,PER PER,Martin DEL VALLE Mario CUBA,3,0 - 0,,"19,994 / 14"
67,68,PHI PHI,Philip Joper ESCUETA Ronel ESTANISLAO,1,0 - 0,,"19,836 / 11"
68,69,AUS AUS,Matthew CHAU Sawan SERASINGHE,5,0 - 0,,"19,754 / 9"
69,70,MEX MEX,Job CASTILLO Antonio OCEGUEDA,-7,0 - 0,,"19,612 / 9"
70,71,ITA ITA,Giovanni GRECO Rosario MADDALONI,-6,0 - 0,,"19,438 / 15"
71,72,BRA BRA,Hugo ARTHUSO Daniel PAIOLA,0,0 - 0,,"18,521 / 12"
72,73,DEN DEN,Kasper ANTONSEN Oliver BABIC,2,0 - 0,,"18,160 / 11"
73,74,INA INA,Selvanus GEH Kevin Sanjaya SUKAMULJO,-15,0 - 0,,"18,120 / 6"
74,75,INA INA,Berry ANGRIAWAN Ryan Agung SAPUTRA,19,0 - 0,,"18,030 / 6"
75,76,MAS MAS,Jagdish SINGH Wee Long Roni TAN,0,0 - 0,,"17,360 / 12"
76,77,USA USA,Mathew FOGARTY Bjorn SEGUIN,1,0 - 0,,"17,150 / 9"
77,78,CRO CRO,Zvonimir DURKINJAK Zvonimir HOELBLING,1,0 - 0,,"16,859 / 13"
78,79,SCO SCO,Martin CAMPBELL Patrick MACHUGH,1,0 - 0,,"16,859 / 10"
79,80,CHN CHN,HUANG Kaixiang ZHENG Siwei,1,0 - 0,,"16,640 / 6"
80,81,ENG SCO,Christopher COLES Paul VAN RIETVELDE,1,0 - 0,,"16,630 / 11"
81,82,POL POL,Milosz BOCHAT Pawel PIETRYJA,3,0 - 0,,"16,530 / 11"
82,83,IRL IRL,Joshua MAGEE Sam MAGEE,0,0 - 0,,"16,273 / 10"
83,84,TUR TUR,Emre VURAL SÄ°nan ZORLU,0,0 - 0,,"16,249 / 15"
84,85,INA INA,Berry ANGRIAWAN Ricky Karanda SUWARDI,-18,0 - 0,,"15,970 / 5"
85,86,MAS MAS,Wee Gieen TAN Ee Yi TEO,7,0 - 0,,"15,920 / 8"
86,87,MAS MAS,Kah Ming CHOOI Kok Siang TEO,-1,0 - 0,,"15,900 / 7"
87,88,HKG HKG,CHAN Alan Yun Lung LEE Chun Hei Reginald,4,0 - 0,,"15,660 / 10"
88,89,GER GER,Johannes PISTORIUS Marvin Emil SEIDEL,-1,0 - 0,,"15,040 / 10"
89,90,UKR UKR,Gennadiy NATAROV Artem POCHTAREV,-1,0 - 0,,"15,030 / 11"
90,91,MAS MAS,LOW Juan Shen Yew Sin ONG,-1,0 - 0,,"14,990 / 8"
91,92,RUS RUS,Rodion KARGAEV Anatoliy YARTSEV,-1,0 - 0,,"14,850 / 10"
92,93,MAS MAS,Kien Keat KOO Boon Heong TAN,27,0 - 0,,"13,840 / 3"
93,94,RUS RUS,Nikita KHAKIMOV Vasily KUZNETSOV,1,0 - 0,,"13,550 / 6"
94,95,INA INA,Hardianto HARDIANTO Kenas Adi HARYANTO,1,0 - 0,,"13,500 / 8"
95,96,INA INA,Angga PRATAMA Ryan Agung SAPUTRA,-19,0 - 0,,"13,020 / 2"
96,97,INA INA,Christopher RUSDIANTO Trikusuma WARDHANA,0,0 - 0,,"12,880 / 10"
97,98,GUA GUA,Kevin CORDON Anibal MARROQUIN,0,0 - 0,,"12,839 / 6"
98,99,TPE TPE,LU Ching Yao TIEN Tzu Chieh,1,0 - 0,,"12,620 / 4"
99,100,GER GER,Daniel BENZ Jones Ralfy JANSEN,1,0 - 0,,"12,530 / 9"
100,101,KOR KOR,SolGyu CHOI KO Sung Hyun,1,0 - 0,,"12,250 / 4"
101,102,MAS MAS,Jian Yi LEE Zhen Ting LIM,1,0 - 0,,"12,180 / 11"
102,103,RUS RUS,Vladimir RUSIN Ilya ZHDANOV,1,0 - 0,,"12,060 / 10"
103,104,MAS MAS,Khim Wah LIM Yao Han OW,1,0 - 0,,"11,980 / 6"
104,105,IND IND,KONA Tarun Santosh RAVURI,1,0 - 0,,"11,710 / 5"
105,106,MAS MAS,Thien How HOON Wee Kiong TAN,1,0 - 0,,"11,640 / 2"
106,107,TPE TPE,Wei Chen LIU YANG Po Han,1,0 - 0,,"11,560 / 7"
107,108,CZE CZE,Pavel FLORIAN Ondrej KOPRIVA,1,0 - 0,,"11,397 / 12"
108,109,RSA RSA,Andries MALAN Willem VILJOEN,-22,0 - 0,,"11,314 / 6"
109,110,FRA FRA,Lucas CORVEE Brice LEVERDEZ,0,0 - 0,,"10,860 / 6"
110,111,INA INA,Ronald ALEXANDER Edi SUBAKTIAR,0,0 - 0,,"10,820 / 4"
111,112,DEN DEN,Soren GRAVHOLT Nikolaj OVERGAARD,0,0 - 0,,"10,740 / 6"
112,113,USA USA,Ryan CHEW Rudi GUNAWAN,0,0 - 0,,"10,670 / 5"
113,114,JPN JPN,Takuro HOKI Yugo KOBAYASHI,0,0 - 0,,"10,540 / 4"
114,115,IND IND,Alwin FRANCIS Arun VISHNU,0,0 - 0,,"10,430 / 5"
115,116,MEX MEX,Arturo HERNANDEZ Lino MUNOZ,0,0 - 0,,"10,393 / 6"
116,117,CAN CAN,PHILLIPE Charron Toby NG,0,0 - 0,,"10,320 / 6"
117,118,THA THA,Bodin ISSARA Nipitphon PUANGPUAPECH,25,0 - 0,,"10,320 / 4"
118,119,DEN DEN,Alexander BOND Joel EIPE,0,0 - 0,,"9,970 / 6"
119,120,DEN DEN,Mathias BAY-SMIDT Frederik SÃGAARD MORTENSEN,1,0 - 0,,"9,800 / 5"
120,121,SCO SCO,Josh NEIL Ben TORRANCE,1,0 - 0,,"9,680 / 8"
121,122,IND IND,Shlok RAMCHANDRAN Sanyam SHUKLA,13,0 - 0,,"9,490 / 4"
122,123,TPE TPE,LIN Chia Hsuan LIN Chia Hao,2,0 - 0,,"9,270 / 5"
123,124,ENG ENG,Darren ADAMSON Scott SANKEY,0,0 - 0,,"9,230 / 9"
124,125,INA INA,Alvent Yulianto CHANDRA Yonathan Suryatama DASUKI,1,0 - 0,,"9,220 / 5"
125,126,DOM DOM,Nelson JAVIER Alberto RAPOSO,2,0 - 0,,"9,173 / 5"
126,127,BRA BRA,Fabio SOARES Alex Yuwan TJONG,-4,0 - 0,,"9,069 / 6"
127,128,MAS MAS,TAI An Khang Hong Kheng YEW,1,0 - 0,,"8,960 / 5"
128,129,CHN CHN,LIU Cheng LU Kai,12,0 - 0,,"8,860 / 2"
129,130,MAS MAS,Thien How HOON Khim Wah LIM,0,0 - 0,,"8,750 / 2"
130,131,MAS MAS,Pak Chuu CHOW Hee Chun MAK,1,0 - 0,,"8,540 / 3"
131,132,PER PER,Andres CORPANCHO Jose GUEVARA,12,0 - 0,,"8,530 / 6"
132,133,RUS RUS,Konstantin ABRAMOV Alexandr ZINCHENKO,0,0 - 0,,"8,420 / 5"
133,134,ENG ENG,Chris ADCOCK Andrew ELLIS,-35,0 - 0,,"8,391 / 3"
134,135,MAS MAS,Kah Ming CHOOI Yao Han OW,69,0 - 0,,"8,340 / 3"
135,136,JPN JPN,Taiki SHIMADA Yoshinori TAKEUCHI,-2,0 - 0,,"8,310 / 3"
136,137,ARG ARG,Federico DIAZ Pablo MACAGNO,-10,0 - 0,,"8,299 / 8"
137,138,IND IND,M. Anilkumar Raju Venkat Gaurav PRASAD,22,0 - 0,,"8,130 / 4"
138,139,DEN DEN,Frederik COLBERG Soren GRAVHOLT,-3,0 - 0,,"8,040 / 3"
139,140,TPE TPE,CHEN Hung Ling LU Chia Pin,-3,0 - 0,,"8,040 / 2"
140,141,BRA BRA,Ygor Coelho de OLIVEIRA Alex Yuwan TJONG,-3,0 - 0,,"7,988 / 5"
141,142,TPE TPE,HUNG Ying Yuan Cheng Heng SU,-3,0 - 0,,"7,960 / 5"
142,143,NED TPE,Ruud BOSCH HUANG Po Jui,-3,0 - 0,,"7,960 / 4"
143,144,MEX MEX,Job CASTILLO Lino MUNOZ,50,0 - 0,,"7,800 / 3"
144,145,THA THA,Trawut POTIENG Nipitphon PUANGPUAPECH,-3,0 - 0,,"7,680 / 3"
145,146,MAS MAS,Boon Heong TAN Thien How HOON,-1,0 - 0,,"7,600 / 3"
146,147,IND IND,D. Guru Prasad Venkatesh PRASAD,-1,0 - 0,,"7,350 / 5"
147,147,IND IND,Jagadish YADAV S. Sanjeeth,-1,0 - 0,,"7,350 / 5"
148,149,SUI SUI,Mathias BONNY Christian KIRCHMAYR,-1,0 - 0,,"7,290 / 8"
149,150,NZL NZL,Kevin DENNERLY-MINTURN Oliver LEYDON-DAVIS,-1,0 - 0,,"7,250 / 3"
150,151,THA THA,Watchara BURANAKUEA Trawut POTIENG,-33,0 - 0,,"7,240 / 4"
151,152,MAS MAS,Yan Sheng LEE Woon Fui LIN,-21,0 - 0,,"7,150 / 8"
152,153,INA INA,Yonathan Suryatama DASUKI Didit JUANG,-3,0 - 0,,"7,140 / 5"
153,154,NZL NZL,Maoni HU HE Kent PALMER,-3,0 - 0,,"6,990 / 4"
154,155,CHI CHI,Cristian ARAYA Bastian LIZAMA,12,0 - 0,,"6,880 / 6"
155,156,SUI SUI,Pierrick DESCHENAUX Oliver SCHALLER,-4,0 - 0,,"6,840 / 8"
156,157,MAS MAS,Khek Wei CHUA Nelson Wei Keat HEG,-4,0 - 0,,"6,830 / 5"
