,RANK,COUNTRY,PLAYER,CHANGE +/-,WIN - LOSE,PRIZE MONEY,POINTS / TOURNAMENTS
0,1,KOR KOR,LEE Yong Dae YOO Yeon Seong,0,63 - 11,"$989,580.61","87,738 / 11"
1,2,DEN DEN,Mathias BOE Carsten MOGENSEN,0,310 - 102,"$704,307.12","75,950 / 12"
2,3,TPE TPE,LEE Sheng Mu TSAI Chia Hsin,1,69 - 36,"$223,901.87","65,898 / 15"
3,4,CHN CHN,LIU Xiaolong QIU Zihan,4,106 - 72,"$185,273.73","61,933 / 11"
4,5,JPN JPN,Hiroyuki ENDO Kenichi HAYAKAWA,1,154 - 80,"$244,282.85","61,082 / 13"
5,6,KOR KOR,KO Sung Hyun SHIN Baek Cheol,-3,37 - 19,"$393,415.23","60,950 / 13"
6,7,CHN CHN,CHAI Biao HONG Wei,0,47 - 17,"$292,629.99","60,894 / 12"
7,8,CHN CHN,FU Haifeng ZHANG Nan,1,30 - 10,"$483,951.88","58,473 / 10"
8,9,INA INA,Hendra SETIAWAN Mohammad AHSAN,-4,79 - 21,"$583,894.38","57,570 / 9"
9,10,DEN DEN,Mads CONRAD-PETERSEN Mads Pieler KOLDING,1,94 - 36,"$98,791.15","51,526 / 16"
10,11,RUS RUS,Vladimir IVANOV Ivan SOZONOV,1,154 - 67,"$99,359.74","46,715 / 15"
11,12,JPN JPN,Hirokatsu HASHIMOTO Noriyasu HIRATA,1,140 - 101,"$124,585.59","46,360 / 13"
12,13,THA THA,Maneepong JONGJIT Nipitphon PUANGPUAPECH,1,46 - 30,"$79,543.08","45,875 / 13"
13,14,KOR KOR,KIM Gi Jung KIM Sa Rang,4,114 - 49,"$188,003.48","45,191 / 8"
14,15,INA INA,Gideon Markus FERNALDI Markis KIDO,-5,40 - 20,"$255,277.47","44,430 / 11"
15,16,JPN JPN,Takeshi KAMURA Keigo SONODA,3,74 - 39,"$56,210.23","42,341 / 14"
16,17,CHN CHN,CAI Yun LU Kai,0,13 - 10,"$347,816.88","40,940 / 10"
17,18,DEN DEN,Kim ASTRUP Anders Skaarup RASMUSSEN,-3,75 - 41,"$40,355.75","40,711 / 16"
18,19,GER GER,Michael FUCHS Johannes SCHOETTLER,-3,28 - 25,"$62,635.38","39,312 / 15"
19,20,POL POL,Adam CWALINA Przemyslaw WACHA,0,98 - 34,"$58,153.85","38,816 / 20"
20,21,SIN SIN,Danny Bawa CHRISNANTA Chayut TRIYACHART,1,81 - 53,"$44,263.08","37,321 / 13"
21,22,INA INA,Andrei ADISTIA Hendra Aprida GUNAWAN,8,24 - 11,"$110,124.61","36,290 / 10"
22,23,CHN CHN,LI Junhui LIU Yuchen,0,45 - 18,"$61,917.50","35,240 / 10"
23,24,GER GER,Max SCHWENGER Josche ZURWONNE,0,23 - 12,"$17,509.48","35,051 / 14"
24,25,TPE TPE,CHEN Hung Ling Chi-Lin WANG,13,21 - 10,"$56,055.73","33,790 / 10"
25,26,IND IND,Manu ATTRI B. Sumeeth Reddy,5,35 - 30,"$16,420.60","33,783 / 14"
26,27,JPN JPN,Kenta KAZUNO Kazushi YAMADA,0,29 - 9,"$48,596.99","33,230 / 10"
27,28,USA USA,Sattawat PONGNAIRAT Phillip CHEW,0,42 - 53,"$8,851.15","33,023 / 18"
28,29,CHN CHN,KANG Jun LIU Cheng,-4,18 - 16,"$52,724.97","32,890 / 10"
29,30,INA INA,Wahyu Nayaka ARYA PANKARYANIRA Ade YUSUF,-1,48 - 30,"$30,034.98","32,630 / 12"
30,31,INA INA,Angga PRATAMA Ryan Agung SAPUTRA,-10,92 - 57,"$109,903.76","31,700 / 7"
31,32,FRA FRA,Baptiste CAREME Ronan LABAR,0,55 - 32,"$16,276.62","31,649 / 15"
32,33,POL POL,Lukasz MOREN Wojciech SZKUDLARCZYK,0,130 - 75,"$25,192.55","31,572 / 22"
33,34,INA INA,Selvanus GEH Kevin Sanjaya SUKAMULJO,0,25 - 6,"$24,490.35","31,440 / 9"
34,35,INA INA,Berry ANGRIAWAN Ricky Karanda SUWARDI,-9,26 - 18,"$52,935.54","31,400 / 9"
35,36,CHN CHN,WANG YILYU ZHANG Wen,-1,24 - 6,"$38,581.24","31,220 / 7"
36,37,CAN CAN,Adrian LIU Derrick NG,-1,97 - 49,"$15,718.75","30,332 / 11"
37,38,IND IND,Pranaav Jerry CHOPRA Akshay DEWALKAR,-1,43 - 40,"$21,214.19","29,479 / 11"
38,39,THA THA,Wannawat AMPUNSUWAN Patiphat CHALARDCHALEAM,0,21 - 22,"$18,204.96","28,872 / 11"
39,40,GER GER,Raphael BECK Andreas HEINZ,0,27 - 15,"$9,773.75","28,830 / 13"
40,41,DEN DEN,Mathias CHRISTIANSEN David DAUGAARD,0,0 - 0,"$9,401.50","28,070 / 12"
41,42,TPE TPE,HUANG Po Jui LU Ching Yao,0,0 - 0,"$10,023.60","28,020 / 16"
42,43,BEL BEL,Matijs DIERICKX Freek GOLINSKI,0,3 - 3,"$4,684.98","27,486 / 18"
43,44,FRA FRA,Bastian KERSAUDY Gaetan MITTELHEISSER,1,2 - 0,"$4,780.50","26,714 / 15"
44,45,TPE TPE,CHEN Hung Ling LU Chia Pin,-1,0 - 0,,"26,257 / 7"
45,46,FRA FRA,Laurent CONSTANTIN Matthieu LO YING PING,0,0 - 0,,"25,960 / 12"
46,47,NED NED,Jacco ARENDS Jelle MAAS,0,0 - 0,,"25,880 / 14"
47,48,JPN JPN,Takuto INOUE Yuki KANEKO,0,0 - 0,,"25,740 / 9"
48,49,TPE TPE,LIAO Min Chun TSENG Min Hao,0,0 - 0,,"25,460 / 11"
49,50,NED TPE,Ruud BOSCH TIEN Tzu Chieh,2,0 - 0,,"23,650 / 10"
50,51,ENG ENG,Andrew ELLIS Peter MILLS,9,0 - 0,,"23,570 / 9"
51,52,INA INA,Fran KURNIAWAN Agripinna Prima Rahmanto PUTRA,1,0 - 0,,"23,430 / 8"
52,53,GER GER,Fabian HOLZER Mark LAMSFUSS,3,0 - 0,,"23,110 / 12"
53,54,TPE TPE,LIN Chia Yu Hsiao-Lin WU,3,0 - 0,,"22,050 / 11"
54,55,GUA GUA,SOLIS JONATHAN Rodolfo RAMIREZ,-1,0 - 0,,"22,021 / 12"
55,56,MAS MAS,V Shem GOH Wee Kiong TAN,25,0 - 0,,"21,580 / 6"
56,57,RUS RUS,Nikita KHAKIMOV Vasily KUZNETSOV,1,0 - 0,,"21,330 / 8"
57,58,INA INA,Yohanes Rendy SUGIARTO Afiat Yuris WIRAWAN,1,0 - 0,,"21,190 / 8"
58,59,ENG ENG,Chris ADCOCK Andrew ELLIS,-9,0 - 0,,"20,935 / 6"
59,60,INA INA,Angga PRATAMA Ricky Karanda SUWARDI,24,0 - 0,,"20,790 / 5"
60,61,MEX MEX,Job CASTILLO Antonio OCEGUEDA,0,0 - 0,,"20,752 / 11"
61,62,TPE TPE,LIANG Jui Wei LU Chia Pin,0,0 - 0,,"20,750 / 7"
62,63,ENG ENG,Matthew NOTTINGHAM Harley TOWLER,15,0 - 0,,"20,370 / 8"
63,64,ITA ITA,Giovanni GRECO Rosario MADDALONI,-1,0 - 0,,"20,198 / 16"
64,65,MAS MAS,Jagdish SINGH Wee Long Roni TAN,-1,0 - 0,,"20,120 / 11"
65,66,MAS MAS,Pak Chuu CHOW Hee Chun MAK,-1,0 - 0,,"19,960 / 8"
