,RANK,COUNTRY,PLAYER,CHANGE +/-,WIN - LOSE,PRIZE MONEY,POINTS / TOURNAMENTS
0,1,KOR KOR,LEE Yong Dae YOO Yeon Seong,0,88 - 16,"$989,580.61","90,880 / 14"
1,2,INA INA,Hendra SETIAWAN Mohammad AHSAN,0,102 - 26,"$583,894.38","77,557 / 13"
2,3,DEN DEN,Mathias BOE Carsten MOGENSEN,0,326 - 106,"$704,307.12","72,030 / 10"
3,4,CHN CHN,FU Haifeng ZHANG Nan,0,48 - 16,"$483,951.88","70,637 / 13"
4,5,CHN CHN,CHAI Biao HONG Wei,0,62 - 24,"$292,629.99","69,485 / 15"
5,6,JPN JPN,Hiroyuki ENDO Kenichi HAYAKAWA,0,172 - 88,"$244,282.85","68,317 / 16"
6,7,CHN CHN,LIU Xiaolong QIU Zihan,0,119 - 79,"$185,273.73","63,020 / 13"
7,8,TPE TPE,LEE Sheng Mu TSAI Chia Hsin,0,76 - 43,"$223,901.87","58,491 / 15"
8,9,DEN DEN,Mads CONRAD-PETERSEN Mads Pieler KOLDING,0,103 - 42,"$98,791.15","57,417 / 16"
9,10,KOR KOR,KO Sung Hyun SHIN Baek Cheol,0,46 - 23,"$393,415.23","50,820 / 9"
10,11,INA INA,Angga PRATAMA Ricky Karanda SUWARDI,0,24 - 11,"$99,623.09","49,650 / 12"
11,12,RUS RUS,Vladimir IVANOV Ivan SOZONOV,0,167 - 74,"$99,359.74","47,938 / 17"
12,13,MAS MAS,V Shem GOH Wee Kiong TAN,0,38 - 21,"$125,690.59","46,058 / 14"
13,14,JPN JPN,Hirokatsu HASHIMOTO Noriyasu HIRATA,0,147 - 110,"$124,585.59","44,511 / 16"
14,15,DEN DEN,Kim ASTRUP Anders Skaarup RASMUSSEN,0,81 - 49,"$40,355.75","43,636 / 18"
15,16,JPN JPN,Kenta KAZUNO Kazushi YAMADA,0,44 - 14,"$48,596.99","42,490 / 12"
16,17,KOR KOR,KIM Gi Jung KIM Sa Rang,0,120 - 56,"$188,003.48","42,409 / 11"
17,18,INA INA,Wahyu Nayaka ARYA PANKARYANIRA Ade YUSUF,0,58 - 38,"$30,034.98","41,360 / 15"
18,19,ENG ENG,Marcus ELLIS Chris LANGRIDGE,0,19 - 11,"$38,344.95","40,646 / 12"
19,20,JPN JPN,Takeshi KAMURA Keigo SONODA,0,82 - 48,"$56,210.23","40,630 / 15"
20,21,INA INA,Andrei ADISTIA Hendra Aprida GUNAWAN,0,34 - 25,"$110,124.61","39,830 / 15"
21,22,IND IND,Manu ATTRI B. Sumeeth Reddy,0,44 - 39,"$16,420.60","39,500 / 18"
22,23,POL POL,Adam CWALINA Przemyslaw WACHA,0,122 - 42,"$58,153.85","39,416 / 24"
23,24,CHN CHN,CAI Yun LU Kai,0,22 - 14,"$347,816.88","38,770 / 10"
