,RANK,COUNTRY,PLAYER,CHANGE +/-,WIN - LOSE,PRIZE MONEY,POINTS / TOURNAMENTS
0,1,KOR KOR,LEE Yong Dae YOO Yeon Seong,0,69 - 13,"$989,580.61","93,488 / 13"
1,2,DEN DEN,Mathias BOE Carsten MOGENSEN,0,316 - 104,"$704,307.12","75,970 / 12"
2,3,INA INA,Hendra SETIAWAN Mohammad AHSAN,0,87 - 22,"$583,894.38","69,950 / 10"
3,4,TPE TPE,LEE Sheng Mu TSAI Chia Hsin,0,74 - 38,"$223,901.87","65,798 / 15"
4,5,JPN JPN,Hiroyuki ENDO Kenichi HAYAKAWA,0,161 - 83,"$244,282.85","64,252 / 14"
5,6,CHN CHN,CHAI Biao HONG Wei,0,55 - 19,"$292,629.99","64,104 / 13"
6,7,CHN CHN,LIU Xiaolong QIU Zihan,0,110 - 74,"$185,273.73","60,903 / 12"
7,8,CHN CHN,FU Haifeng ZHANG Nan,0,34 - 12,"$483,951.88","57,943 / 10"
8,9,DEN DEN,Mads CONRAD-PETERSEN Mads Pieler KOLDING,0,101 - 39,"$98,791.15","57,636 / 17"
9,10,KOR KOR,KO Sung Hyun SHIN Baek Cheol,0,37 - 19,"$393,415.23","54,370 / 10"
10,11,KOR KOR,KIM Gi Jung KIM Sa Rang,0,116 - 51,"$188,003.48","53,111 / 10"
11,12,RUS RUS,Vladimir IVANOV Ivan SOZONOV,0,157 - 70,"$99,359.74","50,475 / 18"
12,13,JPN JPN,Hirokatsu HASHIMOTO Noriyasu HIRATA,0,143 - 104,"$124,585.59","46,360 / 14"
13,14,DEN DEN,Kim ASTRUP Anders Skaarup RASMUSSEN,0,80 - 45,"$40,355.75","42,961 / 17"
14,15,CHN CHN,WANG YILYU ZHANG Wen,0,27 - 9,"$38,581.24","42,520 / 10"
15,16,SIN SIN,Danny Bawa CHRISNANTA Chayut TRIYACHART,0,83 - 56,"$44,263.08","40,801 / 15"
16,17,THA THA,Maneepong JONGJIT Nipitphon PUANGPUAPECH,0,46 - 30,"$79,543.08","40,735 / 11"
17,18,INA INA,Andrei ADISTIA Hendra Aprida GUNAWAN,0,26 - 14,"$110,124.61","40,540 / 13"
18,19,JPN JPN,Takeshi KAMURA Keigo SONODA,0,74 - 42,"$56,210.23","40,461 / 15"
19,20,JPN JPN,Kenta KAZUNO Kazushi YAMADA,0,40 - 10,"$48,596.99","39,880 / 12"
20,21,CHN CHN,CAI Yun LU Kai,0,18 - 12,"$347,816.88","39,730 / 12"
21,22,GER GER,Michael FUCHS Johannes SCHOETTLER,0,28 - 25,"$62,635.38","39,252 / 14"
22,23,TPE TPE,CHEN Hung Ling Chi-Lin WANG,0,26 - 14,"$56,055.73","39,120 / 14"
23,24,INA INA,Angga PRATAMA Ricky Karanda SUWARDI,0,20 - 7,"$99,623.09","38,760 / 8"
24,25,INA INA,Gideon Markus FERNALDI Markis KIDO,0,40 - 20,"$255,277.47","37,810 / 8"
25,26,POL POL,Adam CWALINA Przemyslaw WACHA,0,105 - 37,"$58,153.85","37,616 / 20"
26,27,GER GER,Max SCHWENGER Josche ZURWONNE,0,26 - 14,"$17,509.48","37,231 / 16"
27,28,CHN CHN,LI Junhui LIU Yuchen,0,45 - 18,"$61,917.50","35,240 / 10"
28,29,IND IND,Manu ATTRI B. Sumeeth Reddy,0,35 - 33,"$16,420.60","34,223 / 16"
29,30,INA INA,Wahyu Nayaka ARYA PANKARYANIRA Ade YUSUF,0,51 - 33,"$30,034.98","34,070 / 12"
30,31,USA USA,Sattawat PONGNAIRAT Phillip CHEW,0,45 - 56,"$8,851.15","33,483 / 19"
31,32,JPN JPN,Takuto INOUE Yuki KANEKO,0,53 - 23,"$9,444.98","32,930 / 11"
32,33,MAS MAS,V Shem GOH Wee Kiong TAN,0,17 - 10,"$125,690.59","32,410 / 9"
33,34,FRA FRA,Baptiste CAREME Ronan LABAR,0,57 - 35,"$16,276.62","32,249 / 18"
34,35,POL POL,Lukasz MOREN Wojciech SZKUDLARCZYK,0,131 - 79,"$25,192.55","31,572 / 23"
35,36,IND IND,Pranaav Jerry CHOPRA Akshay DEWALKAR,0,44 - 44,"$21,214.19","30,559 / 14"
36,37,ENG ENG,Andrew ELLIS Peter MILLS,0,15 - 11,"$48,783.17","29,750 / 12"
37,38,CHN CHN,KANG Jun LIU Cheng,0,19 - 18,"$52,724.97","29,480 / 9"
38,39,GER GER,Raphael BECK Andreas HEINZ,0,28 - 18,"$9,773.75","29,380 / 16"
39,40,DEN DEN,Mathias CHRISTIANSEN David DAUGAARD,0,63 - 25,"$9,401.50","29,120 / 13"
40,41,CAN CAN,Adrian LIU Derrick NG,0,97 - 49,"$15,718.75","28,732 / 10"
41,42,THA THA,Wannawat AMPUNSUWAN Patiphat CHALARDCHALEAM,0,0 - 0,"$18,204.96","28,322 / 10"
42,43,BEL BEL,Matijs DIERICKX Freek GOLINSKI,0,3 - 3,"$4,684.98","28,086 / 18"
43,44,INA INA,Selvanus GEH Kevin Sanjaya SUKAMULJO,0,0 - 0,"$24,490.35","27,440 / 8"
44,45,ENG ENG,Matthew NOTTINGHAM Harley TOWLER,0,0 - 0,"$7,737.50","27,090 / 11"
45,46,TPE TPE,LIAO Min Chun TSENG Min Hao,0,0 - 0,"$19,059.97","26,830 / 12"
46,47,NED NED,Jacco ARENDS Jelle MAAS,0,0 - 0,,"25,880 / 14"
47,48,TPE TPE,HUANG Po Jui LU Ching Yao,0,0 - 0,,"25,410 / 13"
48,49,ENG ENG,Marcus ELLIS Chris LANGRIDGE,0,0 - 0,,"25,136 / 7"
49,50,TPE TPE,LIANG Jui Wei LU Chia Pin,0,0 - 0,,"24,810 / 10"
50,51,TPE TPE,LIN Chia Yu Hsiao-Lin WU,0,0 - 0,,"24,710 / 12"
51,52,INA INA,Angga PRATAMA Ryan Agung SAPUTRA,0,0 - 0,,"24,500 / 5"
52,53,FRA FRA,Laurent CONSTANTIN Matthieu LO YING PING,0,0 - 0,,"24,080 / 12"
53,54,NED TPE,Ruud BOSCH TIEN Tzu Chieh,0,0 - 0,,"23,650 / 10"
54,55,INA INA,Fran KURNIAWAN Agripinna Prima Rahmanto PUTRA,0,0 - 0,,"23,430 / 8"
55,56,GER GER,Fabian HOLZER Mark LAMSFUSS,0,0 - 0,,"23,260 / 13"
56,57,FRA FRA,Bastian KERSAUDY Gaetan MITTELHEISSER,0,0 - 0,,"22,724 / 14"
57,58,GUA GUA,SOLIS JONATHAN Rodolfo RAMIREZ,0,0 - 0,,"22,701 / 12"
58,59,RUS RUS,Nikita KHAKIMOV Vasily KUZNETSOV,0,0 - 0,,"22,330 / 9"
59,60,ITA ITA,Giovanni GRECO Rosario MADDALONI,0,0 - 0,,"21,778 / 15"
60,61,PHI PHI,Peter Gabriel MAGNAYE Paul Jefferson VIVAS,0,0 - 0,,"21,190 / 13"
61,62,PHI PHI,Philip Joper ESCUETA Ronel ESTANISLAO,0,0 - 0,,"20,920 / 13"
62,63,THA THA,Puavaranukroh DECHAPOL Kedren KITTINUPONG,0,0 - 0,,"20,880 / 9"
63,64,INA INA,Berry ANGRIAWAN Ricky Karanda SUWARDI,0,0 - 0,,"20,290 / 6"
64,65,INA INA,Yohanes Rendy SUGIARTO Afiat Yuris WIRAWAN,0,0 - 0,,"20,190 / 8"
65,66,MAS MAS,Jagdish SINGH Wee Long Roni TAN,0,0 - 0,,"20,120 / 12"
66,67,PER PER,Martin DEL VALLE Mario CUBA,0,0 - 0,,"19,914 / 12"
67,68,JPN JPN,Hiroyuki SAEKI Ryota TAOHATA,0,0 - 0,,"19,740 / 6"
68,69,ENG ENG,Chris ADCOCK Andrew ELLIS,0,0 - 0,,"19,265 / 5"
69,70,MEX MEX,Job CASTILLO Antonio OCEGUEDA,0,0 - 0,,"19,232 / 9"
70,71,CAN CAN,Kevin LI Nyl YAKURA,0,0 - 0,,"19,048 / 12"
71,72,ENG ENG,Peter BRIGGS Tom WOLFENDEN,0,0 - 0,,"19,030 / 9"
72,73,INA INA,Fajar ALFIAN Muhammad Rian ARDIANTO,0,0 - 0,,"18,550 / 8"
73,74,SCO SCO,Martin CAMPBELL Patrick MACHUGH,0,0 - 0,,"18,289 / 11"
74,75,TPE TPE,CHEN Hung Ling LU Chia Pin,0,0 - 0,,"17,617 / 5"
75,76,BRA BRA,Hugo ARTHUSO Daniel PAIOLA,0,0 - 0,,"17,553 / 10"
76,77,INA INA,Gideon Markus FERNALDI Kevin Sanjaya SUKAMULJO,0,0 - 0,,"17,210 / 4"
77,78,SIN SIN,Yong Kai Terry HEE Hendra WIJAYA,0,0 - 0,,"17,180 / 8"
78,79,RSA RSA,Andries MALAN Willem VILJOEN,0,0 - 0,,"16,948 / 8"
79,80,CRO CRO,Zvonimir DURKINJAK Zvonimir HOELBLING,0,0 - 0,,"16,859 / 12"
80,81,USA USA,Mathew FOGARTY Bjorn SEGUIN,0,0 - 0,,"16,780 / 9"
81,82,FRA FRA,Lucas CORVEE Brice LEVERDEZ,0,0 - 0,,"16,528 / 8"
82,83,IRL IRL,Joshua MAGEE Sam MAGEE,0,0 - 0,,"16,273 / 10"
83,84,ENG SCO,Christopher COLES Paul VAN RIETVELDE,0,0 - 0,,"16,230 / 10"
84,85,MAS MAS,Kah Ming CHOOI Kok Siang TEO,0,0 - 0,,"15,900 / 7"
85,86,RUS RUS,Rodion KARGAEV Anatoliy YARTSEV,0,0 - 0,,"15,760 / 11"
86,87,MAS MAS,Khim Wah LIM Yao Han OW,0,0 - 0,,"15,580 / 7"
87,88,HKG HKG,CHAN Alan Yun Lung LEE Chun Hei Reginald,0,0 - 0,,"15,510 / 9"
88,89,TUR TUR,Emre VURAL SÄ°nan ZORLU,0,0 - 0,,"15,150 / 14"
89,90,UKR UKR,Gennadiy NATAROV Artem POCHTAREV,0,0 - 0,,"15,030 / 11"
90,91,MAS MAS,LOW Juan Shen Yew Sin ONG,0,0 - 0,,"14,990 / 8"
91,92,MAS MAS,Boon Heong TAN Thien How HOON,0,0 - 0,,"14,853 / 5"
92,93,INA INA,Markis KIDO Agripinna Prima Rahmanto PUTRA,0,0 - 0,,"14,720 / 5"
93,94,GUA GUA,Kevin CORDON Anibal MARROQUIN,0,0 - 0,,"14,209 / 7"
94,95,INA INA,Christopher RUSDIANTO Trikusuma WARDHANA,0,0 - 0,,"14,120 / 11"
95,96,POL POL,Milosz BOCHAT Pawel PIETRYJA,0,0 - 0,,"14,050 / 10"
96,97,IND IND,Alwin FRANCIS Arun VISHNU,0,0 - 0,,"14,030 / 6"
97,98,ENG ENG,Chris LANGRIDGE Peter MILLS,0,0 - 0,,"13,672 / 4"
98,99,CZE CZE,Pavel FLORIAN Ondrej KOPRIVA,0,0 - 0,,"12,967 / 14"
99,100,DEN DEN,Kasper ANTONSEN Oliver BABIC,0,0 - 0,,"12,780 / 9"
100,101,THA THA,Watchara BURANAKUEA Trawut POTIENG,0,0 - 0,,"12,540 / 6"
101,102,GER GER,Daniel BENZ Jones Ralfy JANSEN,0,0 - 0,,"12,530 / 9"
102,103,KOR KOR,SolGyu CHOI KO Sung Hyun,0,0 - 0,,"12,250 / 4"
103,104,IND IND,KONA Tarun Santosh RAVURI,0,0 - 0,,"11,710 / 5"
104,105,AUS AUS,Matthew CHAU Sawan SERASINGHE,0,0 - 0,,"11,670 / 6"
105,106,MAS MAS,Thien How HOON Wee Kiong TAN,0,0 - 0,,"11,640 / 2"
106,107,TPE TPE,Wei Chen LIU YANG Po Han,0,0 - 0,,"11,560 / 7"
107,108,MAS MAS,Jian Yi LEE Zhen Ting LIM,0,0 - 0,,"11,260 / 9"
108,109,MAS MAS,Wee Gieen TAN Ee Yi TEO,0,0 - 0,,"11,000 / 6"
109,110,INA INA,Berry ANGRIAWAN Ryan Agung SAPUTRA,0,0 - 0,,"10,990 / 4"
110,111,NZL NZL,Kevin DENNERLY-MINTURN Oliver LEYDON-DAVIS,0,0 - 0,,"10,920 / 5"
111,112,INA INA,Ronald ALEXANDER Edi SUBAKTIAR,0,0 - 0,,"10,820 / 4"
112,113,USA USA,Ryan CHEW Rudi GUNAWAN,0,0 - 0,,"10,670 / 5"
113,114,MAS MAS,Khim Wah LIM V Shem GOH,0,0 - 0,,"10,641 / 3"
