,RANK,COUNTRY,PLAYER,CHANGE +/-,WIN - LOSE,PRIZE MONEY,POINTS / TOURNAMENTS
0,1,KOR KOR,LEE Yong Dae YOO Yeon Seong,0,82 - 14,"$989,580.61","92,680 / 13"
1,2,DEN DEN,Mathias BOE Carsten MOGENSEN,0,324 - 105,"$704,307.12","77,120 / 11"
2,3,CHN CHN,CHAI Biao HONG Wei,1,62 - 22,"$292,629.99","69,485 / 14"
3,4,INA INA,Hendra SETIAWAN Mohammad AHSAN,-1,94 - 25,"$583,894.38","67,637 / 11"
4,5,JPN JPN,Hiroyuki ENDO Kenichi HAYAKAWA,0,167 - 86,"$244,282.85","64,957 / 15"
5,6,CHN CHN,FU Haifeng ZHANG Nan,0,41 - 15,"$483,951.88","63,297 / 11"
6,7,TPE TPE,LEE Sheng Mu TSAI Chia Hsin,1,76 - 41,"$223,901.87","61,241 / 15"
7,8,KOR KOR,KO Sung Hyun SHIN Baek Cheol,-1,44 - 21,"$393,415.23","60,490 / 9"
8,9,CHN CHN,LIU Xiaolong QIU Zihan,0,115 - 78,"$185,273.73","59,420 / 13"
9,10,DEN DEN,Mads CONRAD-PETERSEN Mads Pieler KOLDING,0,102 - 41,"$98,791.15","56,467 / 16"
10,11,RUS RUS,Vladimir IVANOV Ivan SOZONOV,1,162 - 73,"$99,359.74","46,288 / 17"
11,12,KOR KOR,KIM Gi Jung KIM Sa Rang,-1,119 - 54,"$188,003.48","46,009 / 10"
12,13,INA INA,Angga PRATAMA Ricky Karanda SUWARDI,1,20 - 9,"$99,623.09","43,090 / 10"
13,14,DEN DEN,Kim ASTRUP Anders Skaarup RASMUSSEN,1,80 - 48,"$40,355.75","42,436 / 17"
14,15,JPN JPN,Hirokatsu HASHIMOTO Noriyasu HIRATA,-2,145 - 108,"$124,585.59","42,371 / 14"
15,16,INA INA,Andrei ADISTIA Hendra Aprida GUNAWAN,0,30 - 22,"$110,124.61","42,200 / 13"
16,17,MAS MAS,V Shem GOH Wee Kiong TAN,0,31 - 18,"$125,690.59","41,458 / 11"
17,18,TPE TPE,CHEN Hung Ling Chi-Lin WANG,0,27 - 16,"$56,055.73","40,060 / 16"
18,19,JPN JPN,Kenta KAZUNO Kazushi YAMADA,0,43 - 12,"$48,596.99","39,880 / 11"
19,20,POL POL,Adam CWALINA Przemyslaw WACHA,1,120 - 40,"$58,153.85","39,416 / 20"
20,21,INA INA,Wahyu Nayaka ARYA PANKARYANIRA Ade YUSUF,1,55 - 36,"$30,034.98","39,280 / 14"
21,22,JPN JPN,Takeshi KAMURA Keigo SONODA,1,79 - 46,"$56,210.23","37,890 / 13"
22,23,CHN CHN,CAI Yun LU Kai,1,21 - 13,"$347,816.88","37,440 / 10"
23,24,GER GER,Max SCHWENGER Josche ZURWONNE,2,26 - 14,"$17,509.48","37,231 / 16"
24,25,SIN SIN,Danny Bawa CHRISNANTA Chayut TRIYACHART,2,84 - 64,"$44,263.08","36,787 / 13"
25,26,IND IND,Manu ATTRI B. Sumeeth Reddy,3,41 - 37,"$16,420.60","35,880 / 15"
26,27,GER GER,Michael FUCHS Johannes SCHOETTLER,-2,30 - 27,"$62,635.38","35,326 / 10"
27,28,CHN CHN,WANG YILYU ZHANG Wen,-8,30 - 10,"$38,581.24","34,760 / 8"
28,29,CHN CHN,LI Junhui LIU Yuchen,-1,71 - 24,"$61,917.50","34,070 / 9"
29,30,USA USA,Sattawat PONGNAIRAT Phillip CHEW,0,45 - 62,"$8,851.15","33,867 / 20"
30,31,FRA FRA,Baptiste CAREME Ronan LABAR,0,63 - 41,"$16,276.62","33,168 / 22"
31,32,ENG ENG,Marcus ELLIS Chris LANGRIDGE,0,13 - 8,"$38,344.95","31,676 / 9"
32,33,IND IND,Pranaav Jerry CHOPRA Akshay DEWALKAR,1,45 - 47,"$21,214.19","31,586 / 14"
33,34,ENG ENG,Andrew ELLIS Peter MILLS,1,16 - 15,"$48,783.17","31,555 / 15"
34,35,CAN CAN,Adrian LIU Derrick NG,2,97 - 52,"$15,718.75","30,192 / 12"
35,36,GER GER,Raphael BECK Andreas HEINZ,0,39 - 26,"$9,773.75","30,130 / 17"
36,37,JPN JPN,Takuto INOUE Yuki KANEKO,-4,53 - 25,"$9,444.98","30,090 / 10"
37,38,POL POL,Lukasz MOREN Wojciech SZKUDLARCZYK,0,132 - 80,"$25,192.55","29,772 / 21"
38,39,TPE TPE,LIAO Min Chun TSENG Min Hao,0,24 - 19,"$18,028.73","28,930 / 10"
39,40,DEN DEN,Mathias CHRISTIANSEN David DAUGAARD,0,64 - 26,"$9,401.50","28,820 / 13"
40,41,INA INA,Gideon Markus FERNALDI Markis KIDO,0,0 - 0,"$255,277.47","28,160 / 6"
41,42,BEL BEL,Matijs DIERICKX Freek GOLINSKI,0,3 - 3,"$4,684.98","28,086 / 16"
42,43,TPE TPE,LIN Chia Yu Hsiao-Lin WU,0,0 - 0,"$9,214.35","27,740 / 15"
43,44,INA INA,Fajar ALFIAN Muhammad Rian ARDIANTO,1,0 - 0,"$10,169.12","27,140 / 11"
44,45,TPE TPE,HUANG Po Jui LU Ching Yao,1,0 - 0,"$10,211.10","27,090 / 13"
45,46,ENG ENG,Matthew NOTTINGHAM Harley TOWLER,1,0 - 0,"$7,737.50","27,090 / 11"
46,47,INA INA,Markis KIDO Agripinna Prima Rahmanto PUTRA,1,0 - 0,,"25,880 / 8"
47,48,TPE TPE,LIANG Jui Wei LU Chia Pin,1,0 - 0,,"25,600 / 11"
48,49,THA THA,Maneepong JONGJIT Nipitphon PUANGPUAPECH,-5,0 - 0,,"23,820 / 6"
49,50,NED TPE,Ruud BOSCH TIEN Tzu Chieh,1,0 - 0,,"23,650 / 10"
50,51,INA INA,Fran KURNIAWAN Agripinna Prima Rahmanto PUTRA,3,0 - 0,,"23,430 / 8"
51,52,FRA FRA,Laurent CONSTANTIN Matthieu LO YING PING,3,0 - 0,,"23,330 / 10"
52,53,INA INA,Gideon Markus FERNALDI Kevin Sanjaya SUKAMULJO,3,0 - 0,,"23,200 / 6"
53,54,THA THA,Puavaranukroh DECHAPOL Kedren KITTINUPONG,3,0 - 0,,"23,140 / 10"
54,55,GUA GUA,SOLIS JONATHAN Rodolfo RAMIREZ,-2,0 - 0,,"22,691 / 11"
55,56,GER GER,Fabian HOLZER Mark LAMSFUSS,3,0 - 0,,"22,580 / 11"
56,57,CHN CHN,KANG Jun LIU Cheng,-7,0 - 0,,"22,500 / 7"
57,58,SIN SIN,Yong Kai Terry HEE Hendra WIJAYA,2,0 - 0,,"22,111 / 10"
58,59,NED NED,Jacco ARENDS Jelle MAAS,-1,0 - 0,,"21,920 / 11"
59,60,ENG ENG,Peter BRIGGS Tom WOLFENDEN,2,0 - 0,,"21,750 / 11"
60,61,JPN JPN,Hiroyuki SAEKI Ryota TAOHATA,-9,0 - 0,,"21,370 / 6"
61,62,FRA FRA,Bastian KERSAUDY Gaetan MITTELHEISSER,1,0 - 0,,"21,150 / 12"
62,63,PHI PHI,Peter Gabriel MAGNAYE Paul Jefferson VIVAS,1,0 - 0,,"21,014 / 12"
63,64,INA INA,Yohanes Rendy SUGIARTO Afiat Yuris WIRAWAN,1,0 - 0,,"20,800 / 10"
64,65,CAN CAN,Kevin LI Nyl YAKURA,1,0 - 0,,"20,328 / 13"
65,66,PHI PHI,Philip Joper ESCUETA Ronel ESTANISLAO,2,0 - 0,,"19,836 / 11"
66,67,THA THA,Wannawat AMPUNSUWAN Patiphat CHALARDCHALEAM,-6,0 - 0,,"19,830 / 7"
67,68,AUS AUS,Matthew CHAU Sawan SERASINGHE,1,0 - 0,,"19,754 / 9"
68,69,PER PER,Martin DEL VALLE Mario CUBA,-2,0 - 0,,"19,534 / 13"
69,70,MEX MEX,Job CASTILLO Antonio OCEGUEDA,0,0 - 0,,"19,062 / 8"
70,71,ITA ITA,Giovanni GRECO Rosario MADDALONI,0,0 - 0,,"18,978 / 15"
71,72,DEN DEN,Kasper ANTONSEN Oliver BABIC,1,0 - 0,,"18,160 / 11"
72,73,INA INA,Selvanus GEH Kevin Sanjaya SUKAMULJO,1,0 - 0,,"18,120 / 6"
