,RANK,COUNTRY,PLAYER,CHANGE +/-,WIN - LOSE,PRIZE MONEY,POINTS / TOURNAMENTS
0,1,KOR KOR,LEE Yong Dae YOO Yeon Seong,0,67 - 12,"$989,580.61","93,488 / 12"
1,2,DEN DEN,Mathias BOE Carsten MOGENSEN,0,316 - 104,"$704,307.12","75,970 / 12"
2,3,INA INA,Hendra SETIAWAN Mohammad AHSAN,5,84 - 21,"$583,894.38","68,570 / 10"
3,4,TPE TPE,LEE Sheng Mu TSAI Chia Hsin,-1,72 - 37,"$223,901.87","68,558 / 15"
4,5,CHN CHN,CHAI Biao HONG Wei,-1,54 - 18,"$292,629.99","65,544 / 13"
5,6,JPN JPN,Hiroyuki ENDO Kenichi HAYAKAWA,-1,158 - 82,"$244,282.85","62,152 / 14"
6,7,CHN CHN,LIU Xiaolong QIU Zihan,-1,110 - 74,"$185,273.73","60,903 / 12"
7,8,KOR KOR,KO Sung Hyun SHIN Baek Cheol,-1,37 - 19,"$393,415.23","58,570 / 11"
8,9,DEN DEN,Mads CONRAD-PETERSEN Mads Pieler KOLDING,0,99 - 38,"$98,791.15","56,446 / 16"
9,10,RUS RUS,Vladimir IVANOV Ivan SOZONOV,0,157 - 69,"$99,359.74","50,475 / 17"
10,11,CHN CHN,FU Haifeng ZHANG Nan,0,30 - 11,"$483,951.88","50,143 / 9"
11,12,KOR KOR,KIM Gi Jung KIM Sa Rang,2,115 - 50,"$188,003.48","49,511 / 9"
12,13,CHN CHN,CAI Yun LU Kai,0,18 - 11,"$347,816.88","46,710 / 12"
13,14,JPN JPN,Hirokatsu HASHIMOTO Noriyasu HIRATA,-2,142 - 103,"$124,585.59","46,360 / 14"
14,15,DEN DEN,Kim ASTRUP Anders Skaarup RASMUSSEN,0,79 - 44,"$40,355.75","42,961 / 16"
15,16,THA THA,Maneepong JONGJIT Nipitphon PUANGPUAPECH,0,46 - 30,"$79,543.08","42,115 / 12"
16,17,JPN JPN,Takeshi KAMURA Keigo SONODA,0,74 - 41,"$56,210.23","41,401 / 15"
17,18,SIN SIN,Danny Bawa CHRISNANTA Chayut TRIYACHART,3,83 - 55,"$44,263.08","40,801 / 15"
18,19,INA INA,Gideon Markus FERNALDI Markis KIDO,-1,40 - 20,"$255,277.47","40,030 / 9"
19,20,INA INA,Andrei ADISTIA Hendra Aprida GUNAWAN,4,26 - 13,"$110,124.61","39,990 / 12"
20,21,JPN JPN,Kenta KAZUNO Kazushi YAMADA,-2,40 - 10,"$48,596.99","39,880 / 12"
21,22,GER GER,Michael FUCHS Johannes SCHOETTLER,-2,28 - 25,"$62,635.38","39,252 / 14"
22,23,TPE TPE,CHEN Hung Ling Chi-Lin WANG,0,26 - 13,"$56,055.73","39,120 / 13"
23,24,CHN CHN,WANG YILYU ZHANG Wen,2,26 - 8,"$38,581.24","38,920 / 9"
24,25,POL POL,Adam CWALINA Przemyslaw WACHA,-3,105 - 37,"$58,153.85","37,616 / 20"
25,26,GER GER,Max SCHWENGER Josche ZURWONNE,-1,26 - 14,"$17,509.48","37,231 / 16"
26,27,CHN CHN,LI Junhui LIU Yuchen,0,45 - 18,"$61,917.50","35,240 / 10"
27,28,IND IND,Manu ATTRI B. Sumeeth Reddy,0,35 - 33,"$16,420.60","34,223 / 16"
28,29,USA USA,Sattawat PONGNAIRAT Phillip CHEW,0,45 - 56,"$8,851.15","33,623 / 20"
29,30,JPN JPN,Takuto INOUE Yuki KANEKO,0,53 - 23,"$9,444.98","32,930 / 11"
30,31,FRA FRA,Baptiste CAREME Ronan LABAR,0,57 - 35,"$16,276.62","32,249 / 18"
31,32,CHN CHN,KANG Jun LIU Cheng,6,19 - 18,"$52,724.97","31,700 / 10"
32,33,INA INA,Wahyu Nayaka ARYA PANKARYANIRA Ade YUSUF,0,49 - 32,"$30,034.98","31,690 / 12"
33,34,POL POL,Lukasz MOREN Wojciech SZKUDLARCZYK,-2,131 - 79,"$25,192.55","31,572 / 23"
34,35,CAN CAN,Adrian LIU Derrick NG,-1,97 - 49,"$15,718.75","30,332 / 11"
35,36,MAS MAS,V Shem GOH Wee Kiong TAN,6,17 - 9,"$125,690.59","30,190 / 8"
36,37,IND IND,Pranaav Jerry CHOPRA Akshay DEWALKAR,-2,44 - 43,"$21,214.19","30,009 / 13"
37,38,DEN DEN,Mathias CHRISTIANSEN David DAUGAARD,-1,63 - 25,"$9,401.50","29,950 / 14"
38,39,BEL BEL,Matijs DIERICKX Freek GOLINSKI,-3,70 - 84,"$4,684.98","29,886 / 19"
39,40,ENG ENG,Andrew ELLIS Peter MILLS,4,15 - 11,"$48,783.17","29,750 / 12"
40,41,INA INA,Angga PRATAMA Ricky Karanda SUWARDI,13,15 - 7,"$99,623.09","29,560 / 7"
41,42,GER GER,Raphael BECK Andreas HEINZ,-3,28 - 17,"$9,773.75","28,830 / 15"
42,43,THA THA,Wannawat AMPUNSUWAN Patiphat CHALARDCHALEAM,-3,0 - 0,"$18,204.96","28,322 / 10"
43,44,INA INA,Angga PRATAMA Ryan Agung SAPUTRA,-3,0 - 0,"$109,903.76","28,100 / 6"
44,45,INA INA,Selvanus GEH Kevin Sanjaya SUKAMULJO,-2,0 - 0,"$24,490.35","27,440 / 8"
45,46,ENG ENG,Matthew NOTTINGHAM Harley TOWLER,0,0 - 0,"$7,737.50","27,090 / 11"
46,47,TPE TPE,LIAO Min Chun TSENG Min Hao,1,0 - 0,"$19,059.97","26,830 / 12"
47,48,NED NED,Jacco ARENDS Jelle MAAS,-1,0 - 0,,"25,880 / 14"
48,49,TPE TPE,HUANG Po Jui LU Ching Yao,-4,0 - 0,,"25,410 / 13"
49,50,INA INA,Berry ANGRIAWAN Ricky Karanda SUWARDI,-1,0 - 0,,"25,330 / 7"
50,51,TPE TPE,LIANG Jui Wei LU Chia Pin,1,0 - 0,,"24,810 / 10"
51,52,TPE TPE,LIN Chia Yu Hsiao-Lin WU,-2,0 - 0,,"24,710 / 12"
52,53,FRA FRA,Laurent CONSTANTIN Matthieu LO YING PING,-2,0 - 0,,"24,080 / 12"
