,RANK,COUNTRY,PLAYER,CHANGE +/-,WIN - LOSE,PRIZE MONEY,POINTS / TOURNAMENTS
0,1,CHN,CHEN Long,0,299 - 65,"$900,225.00","96,931 / 15"
1,2,MAS,LEE Chong Wei,0,620 - 116,"$1,470,907.50","77,153 / 12"
2,3,DEN,Jan O JORGENSEN,0,336 - 170,"$320,219.50","75,967 / 16"
3,4,JPN,Kento MOMOTA,0,137 - 62,"$227,006.00","74,853 / 15"
4,5,CHN,LIN Dan,0,555 - 75,"$757,185.00","74,277 / 16"
5,6,DEN,Viktor AXELSEN,0,191 - 83,"$166,852.00","71,219 / 17"
6,7,TPE,CHOU Tien Chen,0,190 - 118,"$133,178.50","62,548 / 20"
7,8,CHN,TIAN Houwei,0,92 - 50,"$110,267.50","60,230 / 17"
8,9,IND,KIDAMBI Srikanth,0,122 - 64,"$148,610.00","58,534 / 21"
9,10,INA,Tommy SUGIARTO,0,271 - 138,"$211,248.50","56,010 / 18"
10,11,CHN,WANG Zhengming,0,155 - 79,"$180,985.00","53,940 / 15"
11,12,KOR,SON Wan Ho,0,206 - 117,"$187,137.50","51,425 / 21"
12,13,HKG,HU Yun,0,177 - 139,"$139,850.00","50,252 / 21"
13,14,HKG,WEI Nan,0,120 - 80,"$40,485.00","47,128 / 20"
14,15,IND,PARUPALLI Kashyap,0,225 - 162,"$103,995.00","46,241 / 14"
15,16,HKG,NG Ka Long Angus,0,141 - 68,"$30,356.00","46,180 / 23"
16,17,ENG,Rajiv OUSEPH,0,305 - 176,"$70,242.80","45,636 / 16"
17,18,GER,Marc ZWIEBLER,0,340 - 176,"$131,209.50","43,523 / 17"
18,19,KOR,LEE Hyun Il,0,419 - 137,"$224,417.50","42,930 / 9"
19,20,INA,Dionysius Hayom RUMBAKA,0,183 - 112,"$98,745.00","41,930 / 15"
20,21,KOR,LEE Dong Keun,0,116 - 79,"$47,990.00","41,583 / 23"
21,22,JPN,Sho SASAKI,0,314 - 206,"$125,805.00","41,500 / 20"
22,23,TPE,HSU Jen Hao,0,186 - 130,"$59,341.00","41,378 / 27"
23,24,THA,Boonsak PONSANA,0,365 - 230,"$220,607.50","40,997 / 23"
24,25,IND,Ajay JAYARAM,0,196 - 132,"$71,288.50","40,940 / 20"
25,26,DEN,Hans-Kristian VITTINGHUS,0,255 - 141,"$102,969.10","40,790 / 15"
26,27,IND,H. S. Prannoy,0,111 - 65,"$34,856.00","39,890 / 14"
27,28,HKG,WONG Wing Ki Vincent,0,164 - 137,"$82,925.00","39,696 / 22"
28,29,CHN,XUE Song,0,83 - 32,"$35,562.50","37,420 / 14"
29,30,KOR,JEON Hyeok Jin,0,110 - 30,"$20,635.00","36,560 / 13"
30,31,JPN,Takuma UEDA,0,134 - 100,"$53,932.50","36,476 / 19"
31,32,INA,Ihsan Maulana MUSTOFA,0,83 - 42,"$14,391.00","34,860 / 14"
32,33,INA,Ginting ANTHONY,0,64 - 31,"$14,420.00","34,780 / 15"
33,34,FRA,Brice LEVERDEZ,0,252 - 173,"$53,268.25","34,498 / 19"
34,35,INA,Christie JONATAN,0,86 - 35,"$15,535.50","34,344 / 16"
35,36,THA,Tanongsak SAENSOMBOONSUK,0,177 - 149,"$56,765.00","33,684 / 20"
36,37,IND,B. Sai Praneeth,0,134 - 65,"$21,767.50","33,660 / 16"
37,38,MAS,Zulfadli ZULKIFFLI,0,148 - 96,"$12,262.50","32,470 / 21"
38,39,MAS,Iskandar Zulkarnain ZAINUDDIN,0,122 - 67,"$16,448.50","32,420 / 14"
39,40,ESP,Pablo ABIAN,0,301 - 143,"$31,909.00","32,381 / 20"
40,41,VIE,Tien Minh NGUYEN,0,334 - 139,"$176,225.50","31,850 / 15"
41,42,MAS,Wei Feng CHONG,0,190 - 127,"$60,083.50","30,340 / 16"
42,43,GUA,Kevin CORDON,0,274 - 84,"$18,608.00","30,240 / 15"
43,44,IND,Sameer VERMA,0,95 - 32,"$9,451.00","30,070 / 12"
44,45,EST,Raul MUST,0,271 - 166,"$15,702.50","29,790 / 17"
45,46,JPN,Kenta NISHIMOTO,0,49 - 27,"$7,210.00","29,130 / 11"
46,47,MAS,GOH Soon Huat,0,92 - 71,"$14,213.50","29,030 / 15"
47,48,IRL,Scott EVANS,0,217 - 196,"$21,464.30","28,953 / 15"
48,49,SIN,Zi Liang Derek WONG,0,180 - 145,"$26,975.50","28,915 / 18"
49,50,RUS,Vladimir MALKOV,0,217 - 148,"$20,792.50","28,723 / 22"
50,51,CHN,HUANG Yuxiang,0,38 - 24,"$18,960.00","28,130 / 11"
51,52,IND,R. M. V. Gurusaidutt,0,154 - 98,"$33,948.00","27,040 / 13"
52,53,JPN,Kazumasa SAKAI,0,108 - 50,"$22,961.50","26,500 / 11"
53,54,DEN,Emil HOLST,0,148 - 72,"$13,240.50","26,480 / 16"
54,55,TPE,Tzu Wei WANG,0,113 - 64,"$15,531.00","26,080 / 20"
55,56,CHN,QIAO Bin,0,49 - 24,"$13,235.00","25,640 / 9"
56,57,CUB,Osleni GUERRERO,0,171 - 44,"$11,365.00","25,220 / 14"
57,58,BEL,Yuhan TAN,0,219 - 169,"$15,369.50","25,147 / 23"
58,59,FRA,Thomas ROUXEL,0,132 - 106,"$4,357.50","25,039 / 21"
59,60,AUT,David OBERNOSTERER,0,169 - 132,"$6,955.50","24,869 / 22"
60,61,ISR,Misha ZILBERMAN,0,176 - 156,"$9,868.50","24,768 / 23"
61,62,JPN,Kenichi TAGO,0,197 - 122,"$186,225.50","24,730 / 13"
62,63,UKR,Dmytro ZAVADSKY,0,250 - 146,"$20,353.50","24,530 / 23"
63,64,USA,Howard SHU,0,141 - 97,"$5,660.00","24,522 / 31"
64,65,MAS,Teck Zhi SOO,0,94 - 55,"$4,837.50","24,240 / 12"
65,66,INA,Sony Dwi KUNCORO,0,293 - 135,"$223,612.50","23,990 / 11"
66,67,POL,Adrian DZIOLKO,0,111 - 67,"$3,320.00","23,925 / 25"
67,68,IND,Anand PAWAR,0,213 - 142,"$25,298.50","23,870 / 15"
68,69,BRA,Ygor Coelho de OLIVEIRA,0,88 - 31,"$2,212.50","23,845 / 19"
69,70,AUT,Luka WRABER,0,155 - 118,"$6,800.00","23,828 / 22"
70,71,CZE,Milan LUDIK,0,98 - 77,"$2,100.00","22,963 / 25"
71,72,SWE,Henri HURSKAINEN,0,227 - 151,"$21,972.00","22,850 / 14"
72,73,UKR,Artem POCHTAREV,0,93 - 70,"$3,098.00","22,810 / 23"
73,74,FRA,Lucas CORVEE,0,123 - 79,"$4,380.50","22,166 / 20"
74,75,DEN,Rasmus FLADBERG,0,142 - 71,"$10,048.50","21,740 / 19"
75,76,CHN,SHI Yuqi,0,56 - 21,"$7,200.00","21,720 / 8"
