,RANK,COUNTRY,PLAYER,CHANGE +/-,WIN - LOSE,PRIZE MONEY,POINTS / TOURNAMENTS
0,1,CHN CHN,LUO Ying LUO Yu,0,109 - 38,"$314,418.74","74,640 / 14"
1,2,INA INA,Nitya Krishinda MAHESWARI Greysia POLII,1,115 - 54,"$316,965.87","72,592 / 17"
2,3,JPN JPN,Misaki MATSUTOMO Ayaka TAKAHASHI,1,193 - 93,"$395,619.74","72,579 / 18"
3,4,DEN DEN,Kamilla RYTTER JUHL Christinna PEDERSEN,-2,168 - 76,"$411,589.67","72,380 / 16"
4,5,KOR KOR,CHANG Ye Na LEE So Hee,0,38 - 11,"$189,151.83","58,010 / 12"
5,6,KOR KOR,JUNG Kyung Eun SHIN Seung Chan,0,34 - 11,"$237,572.01","55,960 / 12"
6,7,CHN CHN,MA Jin TANG Yuanting,0,43 - 11,"$396,265.00","54,019 / 8"
7,8,NED NED,Eefje MUSKENS Selena PIEK,1,98 - 39,"$86,591.72","52,755 / 22"
8,9,JPN JPN,Naoko FUKUMAN Kurumi YONAO,-1,66 - 38,"$37,373.72","50,750 / 20"
9,10,CHN CHN,TIAN Qing ZHAO Yunlei,0,172 - 30,"$793,853.62","50,270 / 6"
10,11,MAS MAS,Vivian Kah Mun HOO Khe Wei WOON,0,94 - 79,"$72,240.14","48,374 / 19"
11,12,JPN JPN,Reika KAKIIWA Miyuki MAEDA,0,72 - 48,"$251,632.69","47,430 / 15"
12,13,JPN JPN,Shizuka MATSUO Mami NAITO,0,153 - 88,"$162,095.82","47,100 / 16"
13,14,IND IND,Jwala GUTTA Ashwini PONNAPPA,0,85 - 90,"$77,256.98","46,314 / 21"
14,15,KOR KOR,GO Ah Ra YOO Hae Won,0,66 - 50,"$68,199.96","45,700 / 18"
15,16,KOR KOR,CHAE Yoo Jung KIM So Yeong,0,19 - 16,"$66,024.35","45,550 / 14"
16,17,BUL BUL,Gabriela STOEVA Stefani STOEVA,0,150 - 53,"$58,604.74","44,680 / 19"
17,18,CHN CHN,WANG Xiaoli YU Yang (F),0,194 - 21,"$1,165,684.99","43,130 / 7"
18,19,HKG HKG,POON Lok Yan TSE Ying Suet,1,86 - 83,"$84,542.47","41,480 / 15"
19,20,MAS MAS,Amelia Alicia ANSCELLY Fie Cho SOONG,-1,59 - 47,"$34,514.04","41,430 / 17"
20,21,THA THA,Puttita SUPAJIRAKUL Sapsiree TAERATTANACHAI,0,31 - 41,"$38,766.19","41,185 / 20"
21,22,JPN JPN,Yuki FUKUSHIMA Sayaka HIROTA,1,38 - 17,"$21,363.11","40,090 / 10"
22,23,THA THA,Jongkolphan KITITHARAKUL Rawinda PRAJONGJAI,-1,37 - 33,"$22,229.10","40,050 / 21"
23,24,CHN CHN,TANG Yuanting YU Yang (F),10,25 - 1,"$839,866.87","39,318 / 6"
24,25,KOR KOR,JUNG Kyung Eun CHANG Ye Na,-1,15 - 10,"$285,540.13","37,845 / 8"
25,26,KOR KOR,LEE So Hee SHIN Seung Chan,-1,80 - 48,"$141,183.71","37,590 / 10"
26,27,GER GER,Carla NELTE Johanna GOLISZEWSKI,-1,70 - 61,"$32,957.49","37,560 / 25"
27,28,GER GER,Birgit MICHELS Isabel HERTTRICH,-1,26 - 28,"$41,213.40","37,036 / 21"
28,29,USA USA,Eva LEE Paula Lynn OBANANA,-1,115 - 79,"$31,726.69","36,841 / 26"
29,30,ENG ENG,Heather OLVER Lauren SMITH,0,49 - 31,"$40,402.75","36,119 / 26"
30,31,JPN JPN,Ayane KURIHARA Naru SHINOYA,-2,40 - 19,"$24,276.11","35,160 / 12"
31,32,THA THA,Chaladchalam Chayanit Phataimas MUENWONG,-1,42 - 22,"$13,974.92","34,920 / 21"
32,33,INA INA,Suci Rizky ANDINI Maretha Dea GIOVANI,-1,24 - 13,"$35,035.35","33,560 / 14"
33,34,INA INA,Anggia Shitta AWANDA Mahadewi Istirani NI KETUT,-1,21 - 11,"$19,254.98","33,560 / 12"
34,35,NED NED,Samantha BARNING Iris TABELING,1,44 - 42,"$29,096.19","33,022 / 19"
35,36,TUR TUR,Neslihan YIGIT Ozge BAYRAK,-1,98 - 44,"$16,615.05","32,898 / 16"
36,37,INA INA,Gebby Ristiyani IMAWAN Tiara Rosalia NURAIDAH,0,70 - 50,"$33,041.70","31,960 / 13"
37,38,JPN JPN,Shiho TANAKA Koharu YONEMOTO,3,15 - 10,"$23,582.58","31,530 / 11"
38,39,TPE TPE,HSU Ya Ching PAI Yu Po,0,15 - 35,"$8,128.07","30,160 / 21"
39,40,BRA BRA,Lohaynny VICENTE Luana VICENTE,0,63 - 33,"$10,538.65","29,383 / 14"
40,41,TPE TPE,HSIEH Pei Chen WU Ti Jung,1,15 - 25,"$21,310.60","28,390 / 21"
41,42,IND IND,Pradnya GADRE NELAKURIHI Sikki Reddy,1,32 - 21,"$17,636.73","27,980 / 10"
42,43,CHN CHN,TANG Jinhua TIAN Qing,1,12 - 3,"$694,460.11","27,440 / 4"
43,44,CAN CAN,Alex BRUCE Phyllis CHAN,2,40 - 40,"$12,090.95","26,938 / 17"
44,45,SIN SIN,Yu Yan Vanessa NEO Shinta Mulia SARI,0,26 - 31,"$78,790.04","26,267 / 11"
45,46,CHN CHN,CHEN Qingchen JIA Yifan,6,24 - 6,"$28,993.75","26,020 / 6"
46,47,INA INA,Devi Tika PERMATASARI Keshya Nurvita HANADIA,0,52 - 32,"$24,140.91","25,580 / 10"
47,48,INA INA,Pia Zebadiah BERNADETH Rizki Amelia PRADIPTA,-10,75 - 50,"$87,147.74","25,420 / 8"
48,49,CHN CHN,TANG Jinhua ZHONG Qianxin,1,10 - 4,"$420,983.11","25,340 / 5"
49,50,AUS AUS,Setyana MAPASA Gronya SOMERVILLE,1,27 - 8,"$4,331.74","25,220 / 11"
50,51,MAS MAS,Meng Yean LEE Yin Loo LIM,-2,21 - 28,"$27,415.31","25,210 / 12"
51,52,INA INA,Della Destiara HARIS Rosyita Eka PUTRI SARI,5,17 - 5,"$36,631.73","24,840 / 7"
52,53,TPE TPE,CHIANG Kai Hsin WU Fang Chien,2,19 - 26,"$9,729.92","24,110 / 18"
53,54,CHN CHN,BAO Yixin TANG Yuanting,0,13 - 1,"$450,888.74","23,950 / 3"
54,55,RUS RUS,Evgeniya KOSETSKAYA Ekaterina BOLOTOVA,-2,36 - 23,"$15,384.75","23,842 / 9"
55,56,DEN DEN,Maiken FRUERGAARD Sara THYGESEN,3,27 - 26,"$6,567.25","23,840 / 10"
